Brewery,Beer,Style/ABV,Description
Garden Path Fermentation,The Spontaneous Ferment: 5-Year Blend on Second Use Cherries.,6.8% 100% Spontaneously Fermented Beer with Second Use Fruit,"A blend of spontaneously fermented, barrel-aged beer from each of our first five seasons, re-fermented on local cherries that had previously been used to make (This Is A) Crush Story. Just a hint of cherry color with cherry undertones carrying through from the nose to the finish."
Garden Path Fermentation,The Strong Fruit Ale.,10% Fruited Native Yeast Honey Quadrupel,"A barrel-aged high gravity blend refermented with loads of burnt clover honey, Skagit plums, and Skagit-foraged blackberries. Naturally bottle conditioned with more honey."
Georgetown Brewing Company,Juniorzafa IPA,5.40%,"Modeled after the Bodhizafa recipe, but brewed to be lighter, Juniorzafa still has the bright tropical aromas from the Citra, Mosaic and Chinook hops you love, but with a lower ABV."
Georgetown Brewing Company,Gusto Crema Coffee Ale,4.60%,"Building on Gusto Crema blend, a medium roasted bean from our friends at Caffè Umbria, we made a smooth, rich cream ale. This beer has roasted flavor, aroma, and color from cold brew coffee. Smooth, rich mouthfeel comes from oats and Munich malt. Gold medal winner in the Coffee Beer category at the Great American Beer Festival in 2016! Contains lactose."
Ghostfish Brewing,Gosefish,Cranberry Hibiscus Gose 6.0%,Tart and refreshing with a margarita vibe.
Ghostfish Brewing,Ruthless,Lager,A classic American Lager inspired by the whole Ghostfish family.
Haas Innovations Brewing LLC.,Dolcita,6.8% Hazy IPA,Dolcita Single Hop Hazy IPA
Haas Innovations Brewing LLC.,Krushin It,6.3% IPA,Krush Single Hop IPA
Haas Innovations Brewing LLC.,Kitchen Sink,5.5% WC Pils,A West Coast Pilsner made with Krush and Galaxy Hops
Haas Innovations Brewing LLC.,Dunkel,5.5% Munich Dunkel,
Halcyon Brewing,Halcyon Pilsner,5.10%,"Our pilsner is single-decocted using local Linc/Coldstream pilsner malt and Oregon-grown Liberty and Sterling. It has a bit of old world spin. Notes of lemon, berries and a dash of herbal spice with a nice bready base."
Halcyon Brewing,Sparkbird,6.2% West Coast Ipa,"Like the bird that gets you into birding, this Ipa may be the Ipa that gets you into Ipa'ing. This crisp West Coast Ipa has fruity notes of fresh cut citrus, marmalade, peaches and a dollop of tropical fun. 
 Hops: Citra, Krush Cryo, Mosaic, Columbus Cryo"
Halcyon Brewing,Keep it PC!,10.8% Chocolate Pistachio Imperial Stout,"We made a special imperial stout with cacao nibs, real pistachio and a small dash of matcha. This is out of our norm (lowish abv’s). It sneaks up with its 10.8%. Brewed with a double mash and a long boil that will become our barrel-aged base."
Hellbent Brewing Company,Seattle Sunshine,Hazy Pale Ale 5.7% ABV,"Initially brewed in conjunction with the Emerald City Supporters for the Sounders, Seattle Sunshine is loaded with peach, nectarine and citrus hop character."
Hellbent Brewing Company,Tobogán,Mexican Lager 4.7% ABV,"Light, golden, crisp and clean. Take a break from the high ABV beers and reset your palate with something mellow and refreshing. You'll thanks us later. Good luck to El Tri in the World Cup!"
Hellbent Brewing Company,Hoist The Colors / Pride Beer,"Pineapple, Blood Orange and Passion Fruit Wheat Beer 5.3% ABV","Let your Pride flag fly! Hoist the Colors is a fruited wheat beer loaded with real Pineapple, Blood Orange and Passionfruit. Our beer has-and always will be-brewed for EVERYONE to enjoy. Taste the Rainbow!"
Human People Beer,Spanning Time,DDH West Coast IPA 7.5%,"Cashmere, Mosaic Cryo, Nelson. crisp, clean, & ripe"
Human People Beer,Piknik,Alpine-style Pilsner 4.3%,"Seattle water, Slovenian hops, Pilsner malt"
Ilk Beer,Color Out of Space,7% Hazy IPA,"Our space to play with hops in the haze! We keep the malt to a minimum focused on body and mouthfeel thanks to generous helpings of oats and wheat. This round we went with a bright trio of Mosaic, Galaxy and Nelson resulting in a gush of tropical fruit flavor!"
Ilk Beer,Under a Free Heaven,5.4% Dortmunder Lager,"The recent spate of Dortmunder Export lagers in the NW is a good example of brewers’ zeitgeist. To that background we give you Under A Free Heaven! Just step mashed German pils malt, Magnum and Hallertau Tradition hops, cold fermented, spunded and unfiltered. Prost!"
Jötunn Ciderhouse,Sunny Jackfruit,6.4% ABV - Mostly Dry Cider,"A sunlit daydream in a glass - apple at the wheel, jackfruit riding shotgun, and a mystery melon (or maybe an eccentric plum?) hitching a ride. Mostly dry, lightly sweet, and juicier than your average summer scandal."
Jötunn Ciderhouse,Earl Grey,6.4% ABV - Mostly Dry Cider,"It’s tea time, innit? Smooth apple, a splash of vanilla, and a bright little zing of bergamot, like your nan’s Earl Grey, but with a proper kick. Lightly floral, a touch sweet, and dry enough to mind its manners. Pinkies up, you posh rascal."
Jötunn Ciderhouse,Pretty Berry,6.6 ABV - Mostly Dry Cider,"Like a French rosé that’s trying so hard to be elegant but mostly just ends up embarrassing itself. Kind of like that friend that talks fancy words but can’t quite pull them off. Tart cranberry and bold florals are there to help, but those dry tannins? They’re just too sharp to keep quiet. It’s pretty, it’s awkward, and way too real for the classic fairy tale ending."
Kulshan Brewing Co.,Kulshan Pilsner,German Style Pilsner / 4.9% ABV,"Crisp and refreshing with balanced bitterness, Kulshan Pilsner showcases the finest German malt and noble hops. Traditional clean and bready malt flavors support herbal, floral and slightly spicy hop aromatics and flavor."
Kulshan Brewing Co.,Heliotrope,IPA / 7.3% ABV,"Named after the popular ridge trail that leads to the base of Mount Baker’s Coleman Glacier, Heliotrope IPA is a mouthwatering fusion of classic West Coast IPA characteristics, and new-school fruity, juicy hop flavor. Apricot, tangerine and grapefruit dominate in both aroma and flavor, accented by milder notes of pineapple and black tea."
Kulshan Brewing Co.,Dad Bod,Hazy Pale Ale / 5.6% ABV,"Brewed with our good friends over at the Whatcom Mountain Bike Coalition (WMBC), Dad Bod is a refreshing companion for summer activities. A superbly crushable hazy pale ale, bursting with both juicy tropical fruit notes and zesty citrus
 accents."
Kulshan Brewing Co.,Barrel Aged Belgian Golden Strong,11% ABV,"Aged in barrels from Big Gin Distillery in Seattle, this beer has a smooth bready malt body, with big botanical notes of juniper, pine, and lemongrass, and a slightly warm, boozy finish."
Kulshan Brewing Co.,Zero to Hero,N/A IPA,
Ladd & Lass Brewing,Deprived Drippins,12% / Russian Imperial Stout,Coconut-saturated beer “juice” rendered from our annual Russian Imperial Stout Deprived of Light.
Ladd & Lass Brewing,GOOALLL!,5.7% / West Coast Pilsner,"A pitch-perfect pils brewed with ingredients from North America, Europe, South Asia, and New Zealand to mark the planet's premier soccer tournament coming to Seattle."
Ladd & Lass Brewing,Obstinate Intentions,4.9% / Hoppy Belgian Ale,"Inspired by Brasserie de la Senne's Taras Boulba, our homage is assertively bitter and herbaceous with a floral hop bouquet."
Logan Brewing Company,Easy Mode Blonde Ale,5.2% ABV - Blonde Ale,Easy Mode Blonde Ale is mellow & refreshing with notes of floral honey and fresh bread. GABF 2024 Silver Medalist.
Logan Brewing Company,Fire Temple,7% ABV - West Coast IPA,"Fire Temple West Coast IPA burns with notes of lime and grapefruit balanced by a crisp, dry, and hoppy finish. Gold Medalist 2023 U.S. Open Beer Championship"
Logan Brewing Company,Patio Rabbit,7% ABV - Blackberry Sour Ale,Patio Rabbit Blackberry Sour Ale is hopped up on the tart flavors of fresh blackberries!
Lucky Envelope Brewing,Karakuchi Japanese Lager,4.7% Japanese Dry Lager,A refreshing Japanese Lager brewed with rice and corn to mirror beloved crisp “super dry” lagers common in Japan. The term Karakuchi is Japanese for “dry” and is commonly used to describe beers with this flavor profile.
Lucky Envelope Brewing,Marionberry Sour,5.7% Sour Ale,Our latest limited release sour brewed with hundreds of pounds of marionberry puree. The resulting beer is tart and finishes with a bit of natural sweetness.
Lucky Envelope Brewing,Kölsch,5.0% Kolsch Style Ale,"Brewed with deference to German brewing traditions, our version of Kölsch is elegantly light, crisp, and effervescent. One of the most criminally underappreciated styles in the beer world, expect a touch of fruitiness that highlights a honey-like malt sweetness and floral noble hops."
Lumberbeard Brewing,Lake Beer,5.0% Pilsner,Easy drinking pilsner for the long days at the lake.
Lumberbeard Brewing,Cryo Sauna,7.0% Hazy IPA,"Hazy IPA featuring Citra Cryo, Simcoe Cryo, MosaicCryo and El Dorado. Berry, passion fruit,mango, and citrus notes erupt out of the glass."
Lumberbeard Brewing,Anniversary Year 6,15.2% BA Barleywine,"A blend of one year, two year, three year, and four year old barleywine all aged in Willett bourbon barrels."
Mac & Jacks Brewing Co.,Amber Lager,4.8% ABV Amber Lager,"Inspired by our Original Amber Ale, this lager version delivers layers of rich roasted malts with a crisp, clean, caramel finish."
Mac & Jacks Brewing Co.,Marymoor Double IPA,8.1% ABV Double IPA,"Marymoor IPA is grounded in bold, vibrant citrus notes. It goes big with 8.1% ABV but never loses its balance."
Matchless Brewing,Sun Sipper,5.3% Kettle Sour,"Best shared with friends, this sour ale boasts juicy notes of tropical fruit featuring Guava and Pineapple."
Matchless Brewing,Cheap Beer,4% Lager,"Sometimes life calls for something light, classic, and refreshing. Sometimes you just need a Cheap Beer."
Matchless Brewing,FOMO,6.5% IPA,"FOMO IPA is here as our first year-round IPA. If you have that FOMO, grab a FOMO, and then maybe grab another!"
Matchless Brewing,Purple Terple,6.6% IPA,"Is it 4/20 yet? again? Wait, what day is it? What am I drinking? This is delicious!"
Metier Brewing Company,Kolsch,4.9% - Kolsch Style Ale,Light-bodied German-style ale with mild hop bitterness. Very dry and highly sessionable.
Metier Brewing Company,Central Calling IPA,6.5% India Pale Ale,A simple grain bill of 2-row and Pilsner malt allows Mosaic and Strata hops to pop in this crisp golden ale. Grapefruit and Tropical fruit flavors backed up with moderate bitterness. Enjoy this refreshing West Coast IPA.
Metier Brewing Company,Black Stripe Coconut Porter,5.5% Porter,"Infused with toasted coconut, this Porter is silky smooth, rich and robust, with a touch of sweetness on the finish."
Modern Nature Wines,Carmenere,13% ABV Carmenere,"2023 Carménère
 Handpicked / naturally fermented / unfiltered / unfined
 Barrel aged for 18 months in neutral oak.
 No more than 20ppm sulfite added before bottling.
 Grapes from Columbia Valley AVA, Des Estes Long Vineyard
 Tasting notes – Mineral driven with herbaceous nose, tastes fruit forward with earth, smoke, and black pepper."
Modern Nature Wines,Sangio,14.3% ABV Sangiovese,"2023 Sangiovese
 Naturally fermented/hand picked/unfiltered/unfined
 Barrel aged for 18 months in neutral oak.
 No more than 20ppm sulfite added before bottling.
 Grapes from Red Willow Vineyard, Yakima Valley AVA
 Tasting notes - Velvety and rich, cherry and leather"
Modern Nature Wines,Not Dead Yet,12.4% ABV Dry Riesling,"2025 Riesling
 Handpicked / old vine / naturally fermented in locally sourced NOVUM amphora for 10 months and finished in stainless steel
 Grapes from Columbia Valley AVA, Dubrul Vineyard
 Tasting notes - Green apple, lemongrass, nectarine and pineapple with a long finish"
Modern Nature Wines,Gewurz,12.9% ABV Gewürztraminer Orange Wine,"2025 Gewürztraminer orange wine
 Naturally fermented/hand picked/unfiltered
 Barrel fermented on skins for 6 weeks in locally sourced NOVUM amphora then aged in stainless on the lees for 6 months
 Grapes from Naches Heights AVA
 Tasting notes - Ripe apricot and peach with a hint of ginger"
No Boat Brewing Company,Cocodrilo,Mexican lager 5.1%,Traditional Mexican Lager with flaked corn. Perfect beach beer.
No Boat Brewing Company,Lil' Sal,8.4% Imperial TDH WC IPA,2025 Alpha King Silver Medalist. Chinook/Freestyle Nectaron/Citra/Citra Incognito/CTZ Cryo/Nelson Sauvin Cryo. A bombastic WC Imperial that's as massively dank and tropical as it is drinkable
Offset Ciderworks,Off Dry,6.5% (off-dry),"Off Dry is our flagship cider, crafted for any occasion year-round. Made with a 50/50 blend of Washington-grown apples and pears and no added sugar, it strikes the perfect balance between crisp and refreshing with a subtle touch of sweetness. At 6.5% ABV, this off-dry cider is smooth, approachable, and never too sweet or too dry."
Offset Ciderworks,Peach,4.5% (semi-sweet),"Peach is our refreshing summer cider, made with our signature apple-and-pear blend and fresh peaches. At 4.5% ABV, this semi-sweet cider is sessionable, juicy, nd easy-drinking with bright peach notes and a crisp finish that's perfect for warm days and sunny patios."
Offset Ciderworks,Off Dry,6.5% (off-dry),"Off Dry is our flagship cider, crafted for any occasion year-round. Made with a 50/50 blend of Washington-grown apples and pears and no added sugar, it strikes the perfect balance between crisp and refreshing with a subtle touch of sweetness. At 6.5% ABV, this off-dry cider is smooth, approachable, and never too sweet or too dry."
Offset Ciderworks,Peach,4.5% (semi-sweet),"Peach is our refreshing summer cider, made with our signature apple-and-pear blend and fresh peaches. At 4.5% ABV, this semi-sweet cider is sessionable, juicy, nd easy-drinking with bright peach notes and a crisp finish that's perfect for warm days and sunny patios."
Outer Planet Brewing,Pillars of Creatioin,Bavarian Hefeweizen 5.4%,The banana-and-clove flavor you expect with a clean and bitter noble hop finish.
Outer Planet Brewing,Great Attractor,Mexican Lager 5.0%,"Mashed with Mesquite flour. The Mesquite imparts a sweet, nutty, maple note to the clean and dry Vienna-style Mexican lager."
